x,y,category
34276,84685,0
23426,12954,0
68656,22941,0
59415,89062,0
44023,94749,0
79495,40348,0
9443,97340,0
83991,20354,0
57810,63389,0
46160,12431,0
98925,22166,0
59934,87019,0
17091,94722,0
26032,35540,0
70737,61634,0
60991,81532,0
30488,96521,0
4561,28977,0
99224,97333,0
3301,78726,0
43961,98329,0
41067,41327,0
53122,44646,0
11703,37290,0
22620,36298,0
56838,81273,0
82809,2382,0
47391,6049,0
80017,54799,0
63037,42539,0
50347,53402,0
58782,16289,0
35412,14282,0
44633,78766,0
11192,37369,0
26292,14786,0
45562,47205,0
8596,11494,0
88058,91694,0
93790,13917,0
98955,65072,0
66021,5299,0
73749,26343,0
34192,26880,0
1075,98359,0
62392,44469,0
21524,80730,0
93956,62214,0
18703,57212,0
90050,35193,0
46010,4823,0
74917,6002,0
94136,54794,0
26950,74475,0
77587,22221,0
65131,27897,0
67387,66193,0
1369,43096,0
2611,24311,0
70286,72805,0
27389,61698,0
22860,19471,0
38573,96395,0
77968,55497,0
47681,1652,0
99537,16298,0
48960,86437,0
80191,82605,0
83476,94588,0
49608,16662,0
79943,72493,0
73065,91615,0
52222,90423,0
62941,98151,0
42516,16065,0
88213,28318,0
31513,55562,0
51138,92515,0
47432,82079,0
84384,7061,0
83430,68425,0
73730,20735,0
37705,48949,0
50744,98336,0
14869,96541,0
6864,38783,0
4261,74694,0
19906,48337,0
92920,7298,0
87011,58531,0
25160,88772,0
86681,78492,0
62282,62729,0
98394,77562,0
64478,39294,0
69050,68085,0
14003,61592,0
33698,80975,0
64446,92664,0
84697,16791,0
21682,3639,0
62590,65658,0
11157,63642,0
49191,18570,0
3153,12886,0
81704,62578,0
22498,70536,0
38514,23558,0
92837,49893,0
44374,39500,0
11083,18537,0
79818,83011,0
43163,74389,0
11961,76184,0
88823,63842,0
67724,25149,0
19205,45772,0
70760,90067,0
42726,30624,0
24336,2302,0
19658,35328,0
36357,88608,0
59230,59012,0
65864,14686,0
90180,76672,0
69103,77936,0
58801,63372,0
93010,60931,0
38746,61478,0
9204,39306,0
86308,58760,0
78417,82648,0
83904,28180,0
39105,34348,0
13327,30556,0
81125,61832,0
77209,27001,0
25393,70016,0
11499,22714,0
47636,47912,0
82723,11425,0
59019,34810,0
37573,32466,0
81514,32754,0
98734,2585,0
75296,95782,0
9113,69489,0
7275,95028,0
39582,6517,0
5032,65371,0
38576,8845,0
50688,31600,0
38177,19636,0
30267,59748,0
60362,87306,0
4298,99063,0
72440,5001,0
11307,44730,0
10382,31429,0
47952,36142,0
65500,63552,0
8696,76259,0
81321,66993,0
86974,70197,0
92675,87665,0
43048,75627,0
9246,92220,0
10266,21290,0
12278,93683,0
32924,87956,0
1316,84675,0
54071,20165,0
56729,24244,0
25326,12267,0
92979,2878,0
49992,54817,0
84620,46159,0
58057,69096,0
10816,11207,0
50383,66060,0
9859,16735,0
25453,29801,0
32386,95070,0
14736,75043,0
69692,14145,0
17025,85354,0
95508,63729,0
79485,24686,0
45478,7700,0
7484,28455,0
10920,71304,0
51707,9634,0
73014,83403,0
93062,30373,0
24008,95809,0
78799,91552,0
38705,5037,0
73936,24994,0
6247,51419,0
63417,64122,0
39299,31200,0
6584,66691,0
37534,61817,0
51203,89490,0
79743,99347,0
44024,90628,0
83480,82090,0
93281,54474,0
92625,45206,0
34422,86422,0
29200,77904,0
29158,71710,0
70502,76807,0
7510,85586,0
78615,60605,0
76149,14960,0
13420,85858,0
25860,7232,0
32200,37500,0
45207,40941,0
80545,83607,0
39656,29332,0
8709,22331,0
85723,26334,0
2199,44865,0
99167,90747,0
93286,64449,0
56881,51545,0
60121,59946,0
659,83719,0
30478,46746,0
28968,98816,0
7733,17706,0
83334,11495,0
69173,11381,0
84222,46337,0
50971,10135,0
66090,65617,0
69325,18579,0
10599,59335,0
91390,61207,0
86289,67368,0
54680,31863,0
22545,22426,0
83426,24993,0
10136,459,0
44322,7155,0
89502,5787,0
62409,71131,0
55112,85080,0
35972,82656,0
60396,66913,0
76550,44226,0
58539,89716,0
26490,32617,0
45150,33682,0
10144,94876,0
59836,4002,0
12215,73468,0
31973,64997,0
70843,76240,0
21663,83541,0
71469,38674,0
33837,63195,0
16470,43662,0
21861,48283,0
69062,2998,0
28565,84202,0
39423,78419,0
32363,39455,0
19980,11504,0
17731,28505,0
29632,62758,0
95981,25104,0
94170,7140,0
94124,98501,0
62323,56991,0
56928,41811,0
10412,45044,0
3649,95555,0
68922,30773,0
12179,8565,0
84285,19343,0
59839,40116,0
45514,84925,0
1013,42776,0
53492,17574,0
56483,9441,0
92960,23241,0
81554,80396,0
50841,73865,0
25590,60048,0
30411,21687,0
95526,23738,0
87581,62952,0
19272,48431,0
72126,69934,0
78239,19750,0
61255,71168,0
58102,18166,0
8666,92746,0
93763,32086,0
56682,29336,0
35763,75781,0
23310,2298,0
28738,90668,0
85076,17630,0
30870,18821,0
9112,91880,0
18612,77040,0
85542,24477,0
10837,37041,0
29697,17320,0
84332,40090,0
34948,98121,0
11772,56530,0
42425,84221,0
60377,10396,0
16116,10297,0
95456,54074,0
70463,52568,0
57644,69552,0
78516,34076,0
27172,20963,0
96499,44865,0
45238,81264,0
66887,91196,0
52655,40554,0
913,76565,0
82265,65212,0
45552,46986,0
73416,1870,0
30227,28984,0
67728,4328,0
48634,87016,0
49034,93318,0
61549,46298,0
19632,42880,0
34360,31117,0
3060,83776,0
86589,76814,0
35718,49564,0
97123,70887,0
79924,21139,0
15841,83886,0
53711,58044,0
14463,55305,0
59858,87928,0
63428,16322,0
2469,24935,0
87814,20740,0
71447,23448,0
66708,75757,0
92298,49230,0
49598,87419,0
25851,51396,0
26806,70819,0
27460,33494,0
95012,39249,0
16934,63696,0
73775,22404,0
99018,38390,0
92473,65420,0
20220,85689,0
12092,57134,0
81593,2589,0
39500,87942,0
86218,24573,0
10187,26477,0
38417,9184,0
97395,83658,0
11047,8980,0
87482,71472,0
97733,46724,0
53149,99832,0
23691,5138,0
23671,50138,0
20843,54301,0
94383,64985,0
74360,24538,0
77091,91820,0
40805,3496,0
20661,54794,0
13851,82230,0
52235,35577,0
94039,79358,0
71255,26434,0
71363,28205,0
61178,13926,0
77326,22290,0
15609,50328,0
85998,90869,0
43679,90115,0
86134,62561,0
49462,95723,0
49321,55252,0
62680,29018,0
87908,69133,0
91487,95006,0
72527,65890,0
52392,47030,0
36278,98009,0
41421,10657,0
80237,75627,0
25113,25147,0
78632,52931,0
6333,57894,0
73949,73849,0
67080,72362,0
32840,84918,0
27638,96131,0
52750,84487,0
65475,55304,0
22915,28832,0
45075,39679,0
61137,21095,0
35094,17261,0
31655,15760,0
83446,70849,0
82665,49571,0
25526,74114,0
47720,79962,0
47384,98801,0
34715,70937,0
50681,27424,0
83,33650,0
14865,32822,0
31441,47610,0
69271,74283,0
39966,59213,0
3192,65601,0
87576,75280,0
98078,54285,0
5325,86665,0
43533,34015,0
39993,2822,0
65009,3430,0
44716,60473,0
81463,85104,0
64354,51773,0
13383,43607,0
89226,20344,0
81154,5565,0
72288,89942,0
80271,93104,0
18081,27979,0
92624,51686,0
17918,69491,0
63959,4651,0
45998,80437,0
64368,46308,0
58236,94894,0
60139,79785,0
66495,12317,0
21887,82458,0
3888,38364,0
66606,82560,0
65729,68283,0
96061,39983,0
38829,98442,0
15768,46439,0
41029,92937,0
65888,48727,0
61938,12213,0
30295,76993,0
93694,82584,0
86767,55492,0
18611,63082,0
24910,98011,0
94781,27023,0
67650,51027,0
1310,1105,0
37676,24549,0
2173,19065,0
33367,37827,0
61057,31717,0
52195,55032,0
445,31125,0
54129,51474,0
7971,72034,0
63284,98312,0
50432,11801,0
88472,64844,0
40001,74318,0
22599,10274,0
26332,51534,0
12501,95862,0
69206,37414,0
78173,30879,0
46838,88170,0
52716,69333,0
78744,13898,0
14090,14818,0
95823,5826,0
46953,29115,0
48515,16403,0
4897,69624,0
55056,55808,0
42966,46336,0
24755,4374,0
96371,70895,0
38447,5906,0
45100,41147,0
75133,60210,0
50200,36544,0
64103,72051,0
64634,52959,0
89220,32251,0
71397,50447,0
68781,97518,0
28476,61098,0
6297,70469,0
83357,98302,0
22685,33048,0
75838,19664,0
79880,6222,0
56284,76817,0
47032,24006,0
43240,61400,0
37357,28221,0
70505,5729,0
91635,92796,0
19684,75899,0
92726,40807,0
63722,35859,0
87024,74432,0
71469,50529,0
21199,47710,0
93944,47738,0
63395,94359,0
74650,13377,0
3337,20774,0
45982,62658,0
29040,32739,0
71624,49987,0
26736,88303,0
46302,57084,0
73188,9820,0
37665,20978,0
84705,43336,0
51253,11103,0
79245,26012,0
3461,54224,0
8249,32991,0
14487,65210,0
51930,27560,0
64466,59994,0
91863,77398,0
31153,86228,0
5695,86252,0
60465,17114,0
55528,37718,0
73782,76322,0
42683,45051,0
61394,10639,0
34788,49200,0
25102,65758,0
84055,20782,0
32628,48639,0
61333,68041,0
71318,44835,0
34119,31645,0
71495,70167,0
55906,42502,0
61401,27106,0
52864,94754,0
8690,9023,0
93109,620,0
53762,8517,0
76380,71741,0
29301,9932,0
36056,76076,0
39581,1115,0
60009,74321,0
35025,35701,0
91635,62093,0
41607,57491,0
48660,55468,0
25274,97209,0
2574,7,0
39103,41835,0
37277,25637,0
42739,35690,0
23765,5204,0
84281,58326,0
64677,94258,0
97162,81325,0
49854,8143,0
92804,24048,0
63008,81841,0
56235,51116,0
87622,81239,0
72316,91939,0
59016,97461,0
13063,69617,0
50183,63093,0
69803,86959,0
9952,81467,0
75263,28672,0
1486,14603,0
33458,32535,0
57046,32113,0
68106,61470,0
4991,54499,0
84473,66688,0
33983,53228,0
41835,85334,0
41786,95303,0
87899,7246,0
27327,53432,0
4527,55898,0
19293,27113,0
13580,49348,0
69960,55776,0
50244,11904,0
68070,40504,0
38914,94471,0
95799,68540,0
47052,49867,0
36597,40266,0
94035,43508,0
59030,24240,0
61724,42543,0
19270,72044,0
91162,88873,0
96334,5158,0
93306,93200,0
52648,45772,0
73846,93613,0
67250,92966,0
26118,7476,0
56831,69976,0
58674,24075,0
25431,42555,0
55573,10216,0
99854,77040,0
67451,69692,0
53102,55490,0
32324,63803,0
95775,2841,0
51084,85000,0
73620,87947,0
95805,60858,0
33176,74320,0
18633,11023,0
49964,65044,0
71207,70137,0
65585,64062,0
11158,68177,0
58905,75693,0
47380,93783,0
91694,39247,0
10309,52901,0
531,63516,0
98364,81927,0
11598,61876,0
34957,84996,0
78072,75462,0
35141,39669,0
24305,33815,0
74750,11216,0
60716,377,0
90883,94835,0
66810,14740,0
45766,97988,0
23101,28639,0
15986,67634,0
72428,43164,0
27021,97450,0
7809,63255,0
27512,73184,0
64513,12244,0
89415,44933,0
10255,33923,0
77859,4182,0
23832,16923,0
1519,77986,0
26558,16581,0
43594,19766,0
98831,63140,0
89741,94264,0
62961,58256,0
97231,13271,0
58991,7600,0
93705,11621,0
99146,93042,0
23081,97236,0
20867,87121,0
17038,55006,0
57194,25183,0
13666,33335,0
39681,13937,0
99021,27206,0
47940,62433,0
91807,57835,0
81466,68652,0
7235,9936,0
576,90784,0
60587,34345,0
86496,12545,0
21283,45800,0
78998,14902,0
84805,43374,0
96695,63161,0
57553,67411,0
71840,70978,0
22540,45686,0
35273,73551,0
64798,53754,0
48147,38579,0
92874,58311,0
61984,8351,0
75170,93480,0
72078,62425,0
70657,82827,0
25992,81095,0
92578,14014,0
61621,41615,0
80202,89134,0
19723,99888,0
39464,99245,0
66843,18961,0
30688,35834,0
37446,98692,0
71659,44576,0
42385,42654,0
97325,7832,0
55434,23938,0
65014,55057,0
85897,21255,0
11849,35765,0
42773,14980,0
7311,51856,0
9738,69327,0
44593,96149,0
71341,14343,0
80589,30092,0
21681,37756,0
32446,31797,0
27609,93405,0
29001,27464,0
4305,22298,0
82750,17693,0
87566,2752,0
95424,61906,0
94661,63439,0
16173,95145,0
90359,94537,0
50330,70964,0
90890,64628,0
2805,34657,0
93798,49189,0
31007,99370,0
12991,93737,0
68953,72473,0
60283,17574,0
40316,57055,0
4003,87,0
34443,53349,0
91006,7654,0
58363,79121,0
59045,83980,0
60777,40422,0
13566,75065,0
19060,81944,0
26738,84920,0
85878,20636,0
88605,11286,0
95457,22091,0
61287,77673,0
2450,39073,0
84632,4490,0
94121,6592,0
61347,29911,0
38421,59327,0
23537,54046,0
18591,1937,0
63460,60132,0
77318,65098,0
43678,59087,0
35808,70964,0
30166,38471,0
561,10899,0
4656,57753,0
17308,51652,0
56580,89723,0
58313,86505,0
77929,96475,0
81400,58249,0
14747,78397,0
31329,52919,0
28802,84103,0
8709,30964,0
38245,14607,0
4633,78154,0
67770,85836,0
23973,62077,0
6899,55032,0
58663,61559,0
22811,36433,0
84270,79868,0
92450,96844,0
97597,75349,0
88944,10032,0
86275,71831,0
10548,42773,0
34774,79753,0
43259,49454,0
45134,473,0
81278,64808,0
62123,77736,0
40219,38594,0
95525,85120,0
14479,8490,0
77787,39211,0
44309,95115,0
65781,62933,0
66452,73145,0
76133,73228,0
51619,18598,0
30993,38619,0
86169,84208,0
79772,64497,0
94173,25968,0
93987,71844,0
60833,87916,0
37287,96737,0
66549,95154,0
89772,94931,0
29391,70728,0
87942,72699,0
89265,53591,0
96742,92739,0
38849,96434,0
9558,85148,0
91764,39840,0
29964,48186,0
1646,53871,0
31136,40391,0
93541,50010,0
45427,10747,0
91008,7925,0
78199,74807,0
83489,17559,0
95805,74100,0
35003,70601,0
6454,21908,0
54111,80783,0
52153,46297,0
78072,43471,0
38447,79713,0
32766,5357,0
98653,11006,0
95128,79426,0
29151,77864,0
83432,98988,0
79122,99316,0
25306,4393,0
66884,11404,0
55696,83333,0
18499,89418,0
64225,35376,0
5112,74958,0
65215,47577,0
44114,8918,0
2272,91771,0
79431,80032,0
43678,80983,0
64535,583,0
89313,2812,0
95128,9957,0
91411,25635,0
76910,21753,0
17465,25318,0
71992,60894,0
27020,21383,0
8819,63528,0
29579,22201,0
62312,75949,0
37138,12745,0
10346,94927,0
92179,94845,0
89371,16215,0
17384,25634,0
93271,19987,0
1709,76523,0
74847,35341,0
91881,18783,0
72738,94424,0
62262,48336,0
20770,72548,0
88973,54859,0
94354,89823,0
12830,81267,0
54667,21714,0
9908,26640,0
99416,63257,0
86708,97497,0
33927,68966,0
96514,38047,0
61392,25696,0
60287,46334,0
92069,49147,0
617,47274,0
59474,86892,0
33608,72885,0
79686,5684,0
52695,73159,0
73304,44085,0
93180,99363,0
78154,69852,0
1049,16881,0
64160,59220,0
13242,72768,0
27978,19950,0
24025,89285,0
87986,21281,0
64626,91856,0
23678,37673,0
9070,11475,0
15239,67924,0
49687,36736,0
87748,40580,0
93589,7576,0
10115,10274,0
49805,86085,0
33058,26349,0
33388,99906,0
13583,11647,0
89973,41794,0
15898,79885,0
85125,9402,0
89497,78017,0
78347,65785,0
79843,61401,0
87437,96722,0
55753,58675,0
8529,12828,0
55942,51191,0
82645,24017,0
95444,34432,0
2262,58336,0
85178,12140,0
92721,89490,0
71760,87438,0
19809,56751,0
96834,99739,0
2648,49222,0
28803,22283,0
32550,54159,0
2195,4351,0
37770,11331,0
38364,605,0
59691,62111,0
87471,19026,0
30562,48292,0
97937,33754,0
56694,33638,0
12874,49761,0
13495,71448,0
43828,99793,0
36946,87137,0
50113,9338,0
43217,1763,0
68415,83517,0
14202,18060,0
777,60160,0
13897,40828,0
9447,71910,0
31017,34302,0
10238,70641,0
93047,3338,0
26840,75610,0
22312,17089,0
35987,7254,0
98533,37556,0
2853,18545,0
19062,72841,0
41577,53937,0
10638,29429,0
29783,63546,0
60108,28507,0
94955,98737,0
82154,96726,0
11571,51619,0
21854,1973,0
88332,24069,0
5718,51539,0
62105,67015,0
84558,65586,0
25026,58424,0
44817,3856,0
86352,37833,0
20840,36889,0
64931,75660,0
17700,82436,0
11535,39582,0
29198,50642,0
88645,99952,0
44974,34957,0
52627,67228,0
78517,23494,0
49799,73070,0
31559,69189,0
1845,20424,0
87079,25097,0
14376,60233,0
3819,41133,0
7024,48908,0
29388,22885,0
44508,48539,0
38503,32684,0
68990,93794,0
28492,8929,0
43514,42964,0
83696,83385,0
9361,54082,0
3448,99383,0
12504,72804,0
580,87765,0
15472,77597,0
69584,36088,0
11530,83242,0
18046,92991,0
97620,82652,0
29575,21722,0
86071,94840,0
12165,16494,0
30521,72240,0
85313,15600,0
80379,75025,0
70952,96514,0
97489,41831,0
94058,16014,0
83136,29380,0
39112,99903,0
55915,12830,0
45979,83619,0
10866,94953,0
9424,18730,0
81776,31491,0
34412,65792,0
16577,11588,0
19833,90690,0
59035,90705,0
94778,29920,0
88275,17291,0
24621,78800,0
96711,27280,0
8026,20474,0
55356,52032,0
40375,25961,0
97160,46805,0
42186,53529,0
94319,47765,0
9170,77344,0
13913,40518,0
50174,65770,0
63472,10263,0
43617,77421,0
7754,94085,0
21091,220,0
36952,26621,0
78724,56595,0
92612,61413,0
65701,60271,0
73778,79995,0
85606,70996,0
81850,28970,0
32751,83872,0
8919,82800,0
47818,48845,0
56098,55946,0
36543,43052,0
78782,44603,0
58882,30427,0
46105,99085,0
20912,54265,0
3762,74234,0
87767,89611,0
42744,8617,0
68147,62148,0
95539,72710,0
24569,44307,0
23308,92233,0
22668,80619,0
80323,7336,0
25271,92722,0
69528,95330,0
71765,20961,0
80869,80617,0
52420,38658,0
70798,2615,0
29972,26307,0
22004,45140,0
95431,1048,0
82180,54233,0
29860,13234,0
80871,2253,0
90674,24558,0
89272,41330,0
16319,91412,0
64466,20537,0
98868,56721,0
20364,16641,0
89431,46330,0
68858,63444,0
56211,98631,0
88509,99781,0
38340,712,0
60065,49082,0
71794,54957,0
40683,25380,0
67939,51347,0
83259,35341,0
12100,23592,0
63715,59036,0
4440,64677,0
1843,53897,0
97407,88622,0
27371,49925,0
64675,935,0
71856,32312,0
59418,41567,0
83795,83612,0
1780,65294,0
65194,740,0
59548,62317,0
34575,61679,0
12979,62006,0
64880,98415,0
38706,51231,0
86334,52163,0
25913,37169,0
84611,76493,0
32860,95145,0
6835,35547,0
20549,82794,0
37494,41818,0
10011,61792,0
86270,79027,0
5643,63223,0
68328,53620,0
29015,682,0
42949,49712,0
93285,78981,0
60237,34014,0
33908,64488,0
56536,22467,0
3308,57825,0
76066,3043,0
33952,90417,0
48489,33187,0
20181,16799,0
13012,28729,0
79534,98016,0
91020,75254,0
47706,35192,0
78647,3470,0
44512,38741,0
6348,44439,0
97133,34329,0
22945,58183,0
34295,4870,0
18672,7010,0
51808,73322,0
55297,53953,0
58411,46564,0
67206,641,0
41843,2913,0
272,49145,0
68149,98011,0
62631,74336,0
65666,51802,0
31694,29940,0
91384,537,0
81574,57416,0
56594,71252,0
94848,17714,0
58042,46840,0
35448,58711,0
43550,91227,0
74882,63573,0
28605,27722,0
91759,38651,0
38199,79870,0
47621,43659,0
85231,16246,0
36724,3680,0
16369,17454,0
60432,26195,0
37538,73137,0
98232,13957,0
84324,30155,0
79609,21373,0
77134,3336,0
74671,18514,0
77120,94457,0
90959,25979,0
66615,33424,0
26819,5319,0
19390,1954,0
61106,250,0
34417,55978,0
11055,64079,0
32720,29845,0
50544,60020,0
78567,82736,0
16902,70161,0
69348,30464,0
68190,83866,0
50451,72001,0
99458,68526,0
13653,95322,0
56061,18636,0
79726,30925,0
38225,40608,0
95180,91085,0
43410,23742,0
60024,35953,0
74675,92372,0
84380,60842,0
24697,55831,0
56892,2197,0
75414,89952,0
94825,22388,0
40881,21043,0
56487,57899,0
1048,71075,0
11795,37414,0
41645,61278,0
27384,31581,0
65321,23136,0
83454,96083,0
28328,33885,0
78772,13930,0
60948,4892,0
8233,11555,0
47934,65318,0
86389,25996,0
295,91702,0
65762,69457,0
86993,52065,0
4163,82566,0
52354,81098,0
14417,45848,0
34612,79507,0
66427,39223,0
9800,27455,0
42125,32958,0
57460,94077,0
43962,71968,0
21901,55152,0
85531,52103,0
23228,55553,0
79341,88273,0
64418,56363,0
335,94568,0
12338,55764,0
29538,17383,0
21109,54836,0
57493,46926,0
8634,98129,0
73339,24444,0
2764,74670,0
69611,55054,0
15332,31769,0
30245,47917,0
25965,36383,0
55612,61749,0
72281,48749,0
68931,70432,0
87254,28932,0
72617,74561,0
44882,6375,0
65582,17184,0
40590,49444,0
9089,98981,0
18477,64306,0
92598,26250,0
16980,95502,0
19515,28942,0
74822,45938,0
93889,27282,0
11302,95932,0
97014,49966,0
90270,38435,0
17238,65627,0
5605,19263,0
31714,57005,0
45589,30740,0
45204,62309,0
24038,18962,0
13938,93276,0
90429,208,0
92608,86973,0
38430,44099,0
96311,57986,0
46099,10074,0
21661,92441,0
36343,80935,0
71876,57898,0
67567,68337,0
78762,17475,0
91312,80313,0
30990,98760,0
77857,98635,0
57590,71233,0
54139,2492,0
5666,42703,0
74799,92614,0
22420,19697,0
51430,79673,0
75700,67138,0
47016,36452,0
38486,10849,0
37398,97884,0
93377,87170,0
35175,71222,0
94285,65770,0
35990,38360,0
13105,80348,0
15175,38477,0
51139,38037,0
32012,88561,0
45336,56032,0
26637,48045,0
1613,41153,0
